NUMBER,NAME,POP2019,LAT,LON
1,Bratislava,437725,48.143889,17.109722
2,Košice,238593,48.716667,21.25
3,Prešov,88464,49.001667,21.239444
4,Žilina,80727,49.222778,18.74
5,Banská Bystrica,78084,48.735278,19.145278
6,Nitra,76533,48.306944,18.086389
7,Trnava,65033,48.3775,17.588333
8,Trenčín,55383,48.891944,18.036667
9,Martin,54168,49.065,18.921944
10,Poprad,51235,49.059444,20.2975
10,Prievidza,45634,48.771111,18.621667
12,Zvolen,42167,48.570556,19.1175
13,Považská Bystrica,39271,49.113889,18.441667
14,Michalovce,38776,48.755278,21.913333
15,Nové Zámky,37512,47.985556,18.157778
16,Spišská Nová Ves,37007,48.943889,20.5675
17,Komárno,33751,47.763333,18.128333
18,Humenné,32834,48.935833,21.906667
19,Levice,32735,48.216389,18.608056
20,Bardejov,32293,49.293333,21.276111
21,Liptovský Mikuláš,31000,49.084167,19.602222
22,Lučenec,27739,48.328611,19.669167
23,Piešťany,27336,48.584167,17.833611
24,Ružomberok,26558,49.078611,19.308333
25,Topoľčany,24785,48.554167,18.176944
26,Trebišov,24649,48.627778,21.717222
27,Čadca,23941,49.435833,18.792222
28,Rimavská Sobota,23751,48.381111,20.014444
29,Dubnica nad Váhom,23550,48.960556,18.173889
30,Pezinok,23034,48.291944,17.266111
31,Dunajská Streda,22684,47.994444,17.619444
32,Partizánske,22269,48.625833,18.372778
33,Vranov nad Topľou,22245,48.880833,21.673333
34,Šaľa,21689,48.150278,17.8775
35,Hlohovec,21301,48.433333,17.803333
36,Brezno,20889,48.803889,19.643611
37,Senica,20289,48.680556,17.366667
38,Snina,20289,48.988056,22.156667
39,Nové Mesto nad Váhom,20071,48.754722,17.830833
40,Senec,19963,48.218889,17.399722
41,Rožňava,19045,48.658333,20.530833
42,Žiar nad Hronom,18852,48.584167,18.860833
43,Dolný Kubín,18665,49.210556,19.2975
44,Bánovce nad Bebravou,17750,48.718611,18.258056
45,Púchov,17561,49.12,18.330556
46,Malacky,17467,48.435833,17.017778
47,Handlová,16890,48.727222,18.761944
48,Kežmarok,16346,49.133611,20.426389
49,Stará Ľubovňa,16327,49.309444,20.678889
50,Sereď,15444,48.288611,17.731389
51,Skalica,15022,48.842222,17.226667
52,Galanta,14990,48.188889,17.726389
53,Kysucké Nové Mesto,14953,49.298333,18.786667
54,Levoča,14722,49.025278,20.588056
55,Detva,14545,48.551389,19.418333
56,Šamorín,13350,48.026667,17.311667
57,Sabinov,12700,49.106111,21.085556
58,Stupava,12108,48.271111,17.031667
